category,device_maker,device_model,device_spec,device_connection,needle_maker,needle_model,needle_gauge,needle_length,needle_connection,compatibility,notes,source,last_verified
注射器,ニプロ,ニプロシリンジ 2.5mL ルアースリップ,2.5mL,ルアースリップ,ニプロ,ニプロ注射針 NP-2332S,23G,32mm,ルアースリップ,確認済,,初期データ,2026-04
注射器,ニプロ,ニプロシリンジ 2.5mL ルアースリップ,2.5mL,ルアースリップ,テルモ,テルモ注射針 NN-2225S,22G,25mm,ルアースリップ,確認済,,初期データ,2026-04
注射器,ニプロ,ニプロシリンジ 2.5mL ルアースリップ,2.5mL,ルアースリップ,テルモ,テルモ注射針 NN-2713S,27G,13mm,ルアースリップ,規格適合,,初期データ,2026-04
注射器,ニプロ,ニプロシリンジ 5mL ルアーロック,5mL,ルアーロック,ニプロ,ニプロ注射針 NP-2325R,23G,25mm,ルアーロック,確認済,,初期データ,2026-04
注射器,ニプロ,ニプロシリンジ 5mL ルアーロック,5mL,ルアーロック,ニプロ,ニプロ注射針 NP-2138R,21G,38mm,ルアーロック,確認済,,初期データ,2026-04
注射器,ニプロ,ニプロシリンジ 5mL ルアーロック,5mL,ルアーロック,テルモ,テルモ注射針 NN-2325R,23G,25mm,ルアーロック,規格適合,,初期データ,2026-04
注射器,ニプロ,ニプロシリンジ 5mL ルアーロック,5mL,ルアーロック,テルモ,テルモ注射針 NN-2713S,27G,13mm,ルアースリップ,規格適合,ロック注射器にスリップ針：固定なし,初期データ,2026-04
注射器,ニプロ,ニプロシリンジ 10mL ルアーロック,10mL,ルアーロック,ニプロ,ニプロ注射針 NP-2138R,21G,38mm,ルアーロック,確認済,,初期データ,2026-04
注射器,ニプロ,ニプロシリンジ 10mL ルアーロック,10mL,ルアーロック,ニプロ,ニプロ注射針 NP-1838R,18G,38mm,ルアーロック,確認済,,初期データ,2026-04
注射器,ニプロ,ニプロシリンジ 10mL ルアーロック,10mL,ルアーロック,テルモ,テルモ注射針 NN-2138R,21G,38mm,ルアーロック,規格適合,,初期データ,2026-04
注射器,ケアフィールド,ケアフィールドシリンジ 1mL ルアースリップ,1mL,ルアースリップ,テルモ,テルモ注射針 NN-2713S,27G,13mm,ルアースリップ,確認済,,初期データ,2026-04
注射器,ケアフィールド,ケアフィールドシリンジ 1mL ルアースリップ,1mL,ルアースリップ,ニプロ,ニプロ注射針 NP-2516S,25G,16mm,ルアースリップ,確認済,,初期データ,2026-04
注射器,ケアフィールド,ケアフィールドシリンジ 1mL ルアースリップ,1mL,ルアースリップ,テルモ,テルモ注射針 NN-2516S,25G,16mm,ルアースリップ,規格適合,,初期データ,2026-04
注射器,ケアフィールド,ケアフィールドシリンジ 3mL ルアーロック,3mL,ルアーロック,テルモ,テルモ注射針 NN-2325R,23G,25mm,ルアーロック,確認済,,初期データ,2026-04
注射器,ケアフィールド,ケアフィールドシリンジ 3mL ルアーロック,3mL,ルアーロック,ニプロ,ニプロ注射針 NP-2325R,23G,25mm,ルアーロック,規格適合,,初期データ,2026-04
注射器,ケアフィールド,ケアフィールドシリンジ 3mL ルアーロック,3mL,ルアーロック,テルモ,テルモ注射針 NN-2713S,27G,13mm,ルアースリップ,規格適合,ロック注射器にスリップ針：固定なし,初期データ,2026-04
ペン型,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,BD,マイクロファインプラス 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
ペン型,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,テルモ,ナノパス34 34G×4mm,34G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
ペン型,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,ニプロ,ニプロペンニードル 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
ペン型,サノフィ,ソロスター,インスリン,JIS T 3226-2 A型,BD,マイクロファインプラス 31G×5mm,31G,5mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
ペン型,サノフィ,ソロスター,インスリン,JIS T 3226-2 A型,テルモ,ナノパス34 34G×4mm,34G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
ペン型,イーライリリー,ミリオペン,インスリン,JIS T 3226-2 A型,BD,マイクロファインプラス 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
ペン型,イーライリリー,ミリオペン,インスリン,JIS T 3226-2 A型,テルモ,ナノパス34 34G×3mm,34G,3mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
プレフィルド,アッヴィ,ヒュミラペン,40mg/0.4mL,一体型,,,,固定,一体型,一体型,皮下注射 関節リウマチ・クローン病等,サンプル,2026-04
プレフィルド,ファイザー,エンブレルペン,25mg/0.5mL,一体型,,,,固定,一体型,一体型,皮下注射 関節リウマチ等,サンプル,2026-04
プレフィルド,UCB,シムジアオートクリックス,200mg/mL,一体型,,,,固定,一体型,一体型,皮下注射 関節リウマチ・クローン病等,サンプル,2026-04
